569,10,Miranda do Norte,06755
570,10,Mirinzal,06805
571,10,Monção,06904
572,10,Montes Altos,07001
573,10,Morros,07100
574,10,Nina Rodrigues,07209
575,10,Nova Colinas,07258
576,10,Nova Iorque,07308
577,10,Nova Olinda do Maranhão,07357
578,10,Olho d'Água das Cunhãs,07407
579,10,Olinda Nova do Maranhão,07456
580,10,Paço do Lumiar,07506
581,10,Palmeirândia,07605
582,10,Paraibano,07704
583,10,Parnarama,07803
584,10,Passagem Franca,07902
585,10,Pastos Bons,08009
586,10,Paulino Neves,08058
587,10,Paulo Ramos,08108
588,10,Pedreiras,08207
589,10,Pedro do Rosário,08256
590,10,Penalva,08306
591,10,Peri Mirim,08405
592,10,Peritoró,08454
593,10,Pindaré-Mirim,08504
594,10,Pinheiro,08603
595,10,Pio XII,08702
596,10,Pirapemas,08801
597,10,Poção de Pedras,08900
598,10,Porto Franco,09007
599,10,Porto Rico do Maranhão,09056
600,10,Presidente Dutra,09106
601,10,Presidente Juscelino,09205
602,10,Presidente Médici,09239
603,10,Presidente Sarney,09270
604,10,Presidente Vargas,09304
605,10,Primeira Cruz,09403
606,10,Raposa,09452
607,10,Riachão,09502
608,10,Ribamar Fiquene,09551
609,10,Rosário,09601
610,10,Sambaíba,09700
611,10,Santa Filomena do Maranhão,09759
612,10,Santa Helena,09809
613,10,Santa Inês,09908
614,10,Santa Luzia,10005
615,10,Santa Luzia do Paruá,10039
616,10,Santa Quitéria do Maranhão,10104
617,10,Santa Rita,10203
618,10,Santana do Maranhão,10237
619,10,Santo Amaro do Maranhão,10278
620,10,Santo Antônio dos Lopes,10302
621,10,São Benedito do Rio Preto,10401
622,10,São Bento,10500
623,10,São Bernardo,10609
624,10,São Domingos do Azeitão,10658
625,10,São Domingos do Maranhão,10708
626,10,São Félix de Balsas,10807
627,10,São Francisco do Brejão,10856
628,10,São Francisco do Maranhão,10906
629,10,São João Batista,11003
630,10,São João do Carú,11029
631,10,São João do Paraíso,11052
632,10,São João do Soter,11078
633,10,São João dos Patos,11102
634,10,São José de Ribamar,11201
635,10,São José dos Basílios,11250
636,10,São Luís,11300
637,10,São Luís Gonzaga do Maranhão,11409
638,10,São Mateus do Maranhão,11508
639,10,São Pedro da Água Branca,11532
640,10,São Pedro dos Crentes,11573
641,10,São Raimundo das Mangabeiras,11607
642,10,São Raimundo do Doca Bezerra,11631
643,10,São Roberto,11672
644,10,São Vicente Ferrer,11706
645,10,Satubinha,11722
646,10,Senador Alexandre Costa,11748
647,10,Senador La Rocque,11763
648,10,Serrano do Maranhão,11789
649,10,Sítio Novo,11805
650,10,Sucupira do Norte,11904
651,10,Sucupira do Riachão,11953
652,10,Tasso Fragoso,12001
653,10,Timbiras,12100
654,10,Timon,12209
655,10,Trizidela do Vale,12233
656,10,Tufilândia,12274
657,10,Tuntum,12308
658,10,Turiaçu,12407
659,10,Turilândia,12456
660,10,Tutóia,12506
661,10,Urbano Santos,12605
662,10,Vargem Grande,12704
663,10,Viana,12803
664,10,Vila Nova dos Martírios,12852
665,10,Vitória do Mearim,12902
666,10,Vitorino Freire,13009
667,10,Zé Doca,14007
668,18,Acauã,00053
669,18,Agricolândia,00103
670,18,Água Branca,00202
671,18,Alagoinha do Piauí,00251
672,18,Alegrete do Piauí,00277
673,18,Alto Longá,00301
674,18,Altos,00400
675,18,Alvorada do Gurguéia,00459
676,18,Amarante,00509
677,18,Angical do Piauí,00608
678,18,Anísio de Abreu,00707
679,18,Antônio Almeida,00806
680,18,Aroazes,00905
681,18,Aroeiras do Itaim,00954
682,18,Arraial,01002
683,18,Assunção do Piauí,01051
684,18,Avelino Lopes,01101
685,18,Baixa Grande do Ribeiro,01150
686,18,Barra D'Alcântara,01176
687,18,Barras,01200
688,18,Barreiras do Piauí,01309
689,18,Barro Duro,01408
690,18,Batalha,01507
691,18,Bela Vista do Piauí,01556
692,18,Belém do Piauí,01572
693,18,Beneditinos,01606
694,18,Bertolínia,01705
695,18,Betânia do Piauí,01739
696,18,Boa Hora,01770
697,18,Bocaina,01804
698,18,Bom Jesus,01903
699,18,Bom Princípio do Piauí,01919
700,18,Bonfim do Piauí,01929
701,18,Boqueirão do Piauí,01945
702,18,Brasileira,01960
703,18,Brejo do Piauí,01988
704,18,Buriti dos Lopes,02000
705,18,Buriti dos Montes,02026
706,18,Cabeceiras do Piauí,02059
707,18,Cajazeiras do Piauí,02075
708,18,Cajueiro da Praia,02083
709,18,Caldeirão Grande do Piauí,02091
710,18,Campinas do Piauí,02109
711,18,Campo Alegre do Fidalgo,02117
712,18,Campo Grande do Piauí,02133
713,18,Campo Largo do Piauí,02174
714,18,Campo Maior,02208
715,18,Canavieira,02251
716,18,Canto do Buriti,02307
717,18,Capitão de Campos,02406
718,18,Capitão Gervásio Oliveira,02455
719,18,Caracol,02505
720,18,Caraúbas do Piauí,02539
721,18,Caridade do Piauí,02554
722,18,Castelo do Piauí,02604
723,18,Caxingó,02653
724,18,Cocal,02703
725,18,Cocal de Telha,02711
726,18,Cocal dos Alves,02729
727,18,Coivaras,02737
728,18,Colônia do Gurguéia,02752
729,18,Colônia do Piauí,02778
730,18,Conceição do Canindé,02802
731,18,Coronel José Dias,02851
732,18,Corrente,02901
733,18,Cristalândia do Piauí,03008
734,18,Cristino Castro,03107
735,18,Curimatá,03206
736,18,Currais,03230
737,18,Curral Novo do Piauí,03271
738,18,Curralinhos,03255
739,18,Demerval Lobão,03305
740,18,Dirceu Arcoverde,03354
741,18,Dom Expedito Lopes,03404
742,18,Dom Inocêncio,03453
743,18,Domingos Mourão,03420
744,18,Elesbão Veloso,03503
745,18,Eliseu Martins,03602
746,18,Esperantina,03701
747,18,Fartura do Piauí,03750
748,18,Flores do Piauí,03800
749,18,Floresta do Piauí,03859
750,18,Floriano,03909
751,18,Francinópolis,04006
752,18,Francisco Ayres,04105
753,18,Francisco Macedo,04154
754,18,Francisco Santos,04204
755,18,Fronteiras,04303
756,18,Geminiano,04352
757,18,Gilbués,04402
758,18,Guadalupe,04501
759,18,Guaribas,04550
760,18,Hugo Napoleão,04600
761,18,Ilha Grande,04659
762,18,Inhuma,04709
763,18,Ipiranga do Piauí,04808
764,18,Isaías Coelho,04907
765,18,Itainópolis,05003
766,18,Itaueira,05102
767,18,Jacobina do Piauí,05151
768,18,Jaicós,05201
769,18,Jardim do Mulato,05250
770,18,Jatobá do Piauí,05276
771,18,Jerumenha,05300
772,18,João Costa,05359
773,18,Joaquim Pires,05409
774,18,Joca Marques,05458
775,18,José de Freitas,05508
776,18,Juazeiro do Piauí,05516
777,18,Júlio Borges,05524
778,18,Jurema,05532
779,18,Lagoa Alegre,05557
780,18,Lagoa de São Francisco,05573
781,18,Lagoa do Barro do Piauí,05565
782,18,Lagoa do Piauí,05581
783,18,Lagoa do Sítio,05599
784,18,Lagoinha do Piauí,05540
785,18,Landri Sales,05607
786,18,Luís Correia,05706
787,18,Luzilândia,05805
788,18,Madeiro,05854
789,18,Manoel Emídio,05904
790,18,Marcolândia,05953
791,18,Marcos Parente,06001
792,18,Massapê do Piauí,06050
793,18,Matias Olímpio,06100
794,18,Miguel Alves,06209
795,18,Miguel Leão,06308
796,18,Milton Brandão,06357
797,18,Monsenhor Gil,06407
